PQ0;Bug
PQ1;Podaj_swój_wiek?
PQ2;Czy_kiedykolwiek_użytkowałeś?:
Q1;Czy_kiedykolwiek_użytkowałeś_komputer:?
Q2;Jaka_jest_twoja_dominująca_ręka:?
Q3;Czy_używając_mysz_komputerową_twoją_dominującą_ręką_jest:?
Q4;Jak_bardzo_chcesz_nauczyć_się_dobrze_posługiwać_się_urządzeniami_sterowniczymi_i_komputerem:?
Q5;Czy_zamierzasz_przenosić_komputer:?
Q6;Czy_zamierzasz_używać_komputera_chodząc_lub_biegając:?
Q7;Czy_zamierzasz_używać_komputera_tylko_w_domu_lub_pracy:?
Q8;Czy_umiesz_posługiwać_się_ekranem_dotykowym_(touchscreen):?
Q9;Preferujesz_mniejsze,_czy_większe_urządzenie?_Czy_masz_miejsce_gdzie_postawić_komputer:?
Q10;Czy_powinieneś_nosić_i_nosisz_okulary_lub_szkła_kontaktowe:?
Q11;Czy_w_okularach_widzisz_dobrze_i_wyraźnie:?
Q12;Czy_masz_często_zimne_dłonie_lub_palce:?
Q13;Czy_często_odczuwasz_w_kończynach_górnych_bóle,_sztywność,_mrowienie_lub_skurcze:?
Q14;Jakie_zazwyczaj_odczuwasz_dolegliwości_kończyn_górnych:?
Q15;Czy_używając_komputera_będziesz_(wybór_wielokrotny):?
Q16;Wybierz_przedział_wartości_cech_antropometrycznych_twoich_rąk._Cechy_antropometryczne_zmierz_zgodnie_z_ilustracjami:.
Q17;Wskaż_jakiego_rozwiązania_technicznego_potrzebujesz:
Q18;Czy_podczas_użytkowania_urządzenia_występują_niedopasowania_tj.:?
Q19;Czy_podczas_użytkowania_urządzenia_występują_wymuszenia_pozycji_łokcia_tj.:?
Q20;Czy_podczas_użytkowania_urządzenia_dłoń_była(możliwość_zaznaczenia_dwóch_opcji)?
Q21;Czy_podczas_użytkowania_urządzenia_występują_wymuszenia_pozycji_palcy_tj.:?
Q22;Czy_klikając_w_przyciski_urządzenia_palce_dotykają_przycisków:?
Q23;Czy_podczas_użytkowania_występowały_rodzaje_zawodności_układu_sterowania:?
Q24;Czy_podczas_użytkowania_urządzenie:?
Q25;Czy_po_zapoznaniu_się_ze_sposobem_użytkowania_urządzenia_zapamiętanie_zastosowania_przycisków_i_wykonanie_testu_przyszło_ci?
Q26;Czy_dotykając_urządzenie_wrażenie_dotyku_wskazywało_na_urządzenie:?
Q27;Czy_podczas_trzymania_urządzenie_było:?
Q28;Czy_liczba_przycisków_urządzenia_jest:?
Q29;Czy_kształt_(forma)_urządzenia_jest:?
Q30;Czy_kolorystyka_urządzenia_jest:?
Q31;Czy_podczas_użytkowania_urządzenia:?
Q32;Ile_wyniosła_średnia_dokładność_odchylenia_błędu_sterowania(w_przypadku_sterowania_nadążnego):?
Q33;Ile_wyniosła_liczba_błędów_sterowania_(w_przypadku_wprowadzania_danych_tekstowych):?
Q34;Ile_wyniósł_czas_wykonania_zadania_(w_przypadku_sterowania_nadążnego)_[w_minutach]:?
Q35;Ile_wyniósł_czas_wykonania_zadania_(w_przypadku_wprowadzania_danych_tekstowych)_[w_minutach]:?
Q36;Jak_oceniasz_wpływ_urządzenia_na_poprawę_negatywnego_odczucia_występujących_u_ciebie_dolegliwości_kończyn_górnych_i_wzroku:?
Q37;Ile_jesteś_skłonny/a_zapłacić_[w_zł]_za_kupno_takiego_urządzenia_sterowniczego:?
