PA0;Bug
PA1;50-54
PA2;55-59
PA3;60-64
PA4;65-69
PA5;70-74
PA6;75-79
PA7;80-84
PA8;85-89
PA9;90-94
PA10;95-99
PA11;Klawiatura_komputerowa
PA12;Mysz_komputerowa
PA13;Mysz_komputerowa_z_trackballem
PA14;Touchscreen
PA15;Joystick
PA16;Gamepad
PA17;Micro-joystick
PA18;Przycisk_nawigacji
PA19;Klawiatura_telefonu_komórkowego
PA20;Kontroler_ruchu
PA21;Touchpad
PA22;Trackball
PA23;Mysz_komputerowa_typu_joystick
PA24;Długopis_świetlny
PA25;Pilot
PA26;Klawiatura_ekranowa
PA27;Klawiatura_numeryczna
PA28;Rollermouse
PA29;Mysz_komputerowa_typu_3D
PA30;Kontroler_gier_typu_kierownica
PA31;Przycisk
PA32;Pokrętło
PA33;Rękawica_wirtualna
PA34;Nigdy_nie_użytkowałem_żadnego_z_powyższych__urządzeń
A1;Nie
A2;Tak
A3;Lewa
A4;Prawa
A5;Bardzo_słabo
A6;Słabo
A7;Średnio
A8;Mocno
A9;Bardzo_mocno
A10;Nie
A11;Tak
A12;Nie
A13;Tak
A14;Nie
A15;Tak
A16;Nie
A17;Tak
A18;Nie_wiem_co_to
A19;Nie_mam_miejsca._Preferuję_mniejsze_urządzenie
A20;Mam_miejsce._Preferuję_większe_urządzenie
A21;Nie
A22;Tak
A23;Nie
A24;Tak
A25;Nie
A26;Tak
A27;Nie
A28;Tak
A29;Zimne_dłonie_lub_palce
A30;Ból_dłoni
A31;Ból_w_nadgarstku
A32;Ból_w_łokciu
A33;Ból_w_barku
A34;Sztywność_palca_1-2
A35;Sztywność_palca_3-5
A36;Sztywność_dłoni
A37;Mrowienie_palca_1-2
A38;Mrowienie_palca_3-5
A39;Mrowienie_dłoni
A40;Skurcze_palca_1-2
A41;Skurcze_palca_3-5
A42;Lewostronne_skrzywienie_palca_1-2
A43;Lewostronne_skrzywienie_palca_3-5
A44;Prawostronne_skrzywienie_palca_1-2
A45;Prawostronne_skrzywienie_palca_3-5
A46;Czytać
A47;Dzwonić
A48;Śledzić_swoją_aktywność_sportową
A49;Wykonywać_zdjęcia
A50;Korzystać_z_Internetu
A51;Korzystać_ze_specjalistycznego_oprogramowania
A52;Korzystać_z_elektronicznych_map
A53;Rozmawiać_poprzez_Skype
A54;Przeglądać_zdjęcia
A55;Słuchać_muzyki
A56;Oglądać_filmy
A57;Grać_w_gry
A58;Pisać
A59;Długość_ręki_130-170
A60;Długość_ręki_171-180
A61;Długość_ręki_181-190
A62;Długość_ręki_191-200
A63;Długość_ręki_201-240
A64;Długość_dłoni_70-100
A65;Długość_dłoni_101-110
A66;Długość_dłoni_111-120
A67;Długość_dłoni_121-130
A68;Długość_dłoni_131-160
A69;Szerokość_dłoni_70-80
A70;Szerokość_dłoni_81-83
A71;Szerokość_dłoni_84-86
A72;Szerokość_dłoni_87-89
A73;Szerokość_dłoni_90-100
A74;Długość_palca_wskazującego_60-70
A75;Długość_palca_wskazującego_71-75
A76;Długość_palca_wskazującego_76-79
A77;Długość_palca_wskazującego_80-84
A78;Długość_palca_wskazującego_85-95
A79;Szerokość_palca_wskazującego_15-17
A80;Szerokość_palca_wskazującego_18
A81;Szerokość_palca_wskazującego_19
A82;Szerokość_palca_wskazującego_20
A83;Szerokość_palca_wskazującego_21-25
A84;Potrzebuję_urządzenia_sterowniczego_o_bardzo_niskim_poziomie_ergonomiczności
